Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10 µF (0805),C162422
"C10, C12, C14, C19, C20, C21, C26, C29, C9",0603,9,100 nF (0603),C1591
"C11, C13, C15, C18, C3, C35",0603,6,C (100 nF),C1591
"C16, C27, C31, C32",0603,4,C (10 µF),C19702
"C17, C24",0603,2,10 µF (0603),C19702
C22,0603,1,1 µF (0603),C15849
"C23, C25",0603,2,0.1 µF (0603),C1591
C28,0603,1,C (47 pF),C60302
C30,0603,1,C (1 µF),C15849
C4,0603,1,100 nF,C127833
"C5, C7",0603,2,2.2 µF,C913904
"C57, C58",0603,2,10 pF (0603),C1634
"COUT1, COUT2",0805,2,22 µF (0805),C86816
D1,0603,1,LED,C2287
D2,D_SMA,1,SS34,C8678
D3,D_SOD-123,1,B5819W SL,C8598
FB1,0603,1,FCM1608KF-601T03,C141723
IC1,SOIC127P790X216-8N,1,W25Q64JVSSIQ,C179171
J1,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,GNSS Connector - PCB,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,C5160761
J3,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,XBEE Connector,
J4,HRS_DM3BT-DSF-PEJS,1,DM3BT-DSF-PEJS,C597972
J5,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02,C428721
L1,IND_SPM5030T-3R3M-HZ,1,SPM5030T-3R3M-HZ,C518955
LS2,XDCR_CMT-0502-75-SMT-TR,1,CMT-0502-75-SMT-TR
POWER_ON_LED1,0603,1,RED,C2286
Q1,SOT95P280X125-3N,1,AO3400A,C20917
"R(PULL)1, R(PULL)15, R(PULL)16, R(PULL)18, R(PULL)19, R(PULL)2",0603,6,R (4.7 kΩ),C23046
"R(PULL)3, R(PULL)4, R(T)2",0603,3,R (10 kΩ),C22790
"R(PULL)9, R7",0603,2,R (300 Ω),C23025
R(T)1,0603,1,R (100 Ω),C22775
R_PULL_FLASH_1,0603,1,10 kΩ,C22790
"R_PULL_MICROSD_1, R_PULL_MICROSD_2, R_PULL_MICROSD_3, R_PULL_MICROSD_4, R_PULL_MICROSD_5, R_PULL_MICROSD_6",0603,6,4.7 kΩ,C23046
"R_SERIES_MICROSD_1, R_SERIES_MICROSD_2, R_SERIES_MICROSD_3",0603,3,33 Ω,C23140
U2,LGA-14L_2p5X3p0X0p86_STM,1,LSM6DSV32XTR,C22461202
U4,LGA_CC-14-1_ADI,1,ADXL375BCCZ,C579466
U5,SON125P300X500X100-8N,1,MS560702BA03-50,C97627
U7,LQFP-100_14x14mm_P0.5mm,1,STM32F407VGTx,C12345
U9,TSOT-23-6,1,AP63203WU,C780769
XTAL1,NX3225GA-16.000M-STD-CRG-2_NDK,1,NX3225GA-16.000M-STD-CRG-2,C156247
