Designator,Mid X,Mid Y,Rotation,Layer
C1,171.2625,-111.4375,270.0,top
C10,159.8,-53.375,90.0,top
C11,169.15,-72.1,270.0,top
C12,164.6,-45.235,0.0,top
C13,170.8,-35.4375,0.0,top
C14,181.0,-48.8,270.0,top
C15,161.7,-84.8125,270.0,top
C16,161.3,-80.525,270.0,top
C17,156.6,-46.975,90.0,top
C18,159.575,-34.6,0.0,top
C19,178.25,-65.525,270.0,top
C20,159.8,-49.475,90.0,top
C21,158.35,-60.975,90.0,top
C22,156.0,-66.225,270.0,top
C23,184.868498,-63.625,0.0,top
C24,184.868498,-65.425,0.0,top
C25,181.518498,-63.625,180.0,top
C26,164.43,-65.42,180.0,top
C27,159.625,-31.35,0.0,top
C28,178.275,-95.625,90.0,top
C29,158.975,-56.8,0.0,top
C3,167.4,-36.85,270.0,top
C30,178.275,-99.0,90.0,top
C31,178.275,-102.475,90.0,top
C32,180.375,-78.475,180.0,top
C35,159.025,-63.425,0.0,top
C4,177.35,-113.825,270.0,top
C5,176.075,-67.075,90.0,top
C57,154.5,-52.05,180.0,top
C58,154.5,-58.28,0.0,top
C7,181.425,-51.425,180.0,top
C9,159.9,-58.525,180.0,top
COUT1,169.475,-116.15,90.0,top
COUT2,167.05,-116.15,90.0,top
D1,171.325,-81.0,180.0,top
D2,175.1,-107.0375,0.0,top
D3,175.5,-92.75,180.0,top
FB1,157.85,-66.25,90.0,top
IC1,156.6,-38.6,270.0,top
J1,180.406339,-82.949,180.0,top
J2,181.425,-39.885,90.0,top
J3,182.55,-97.525,270.0,top
J4,160.6,-95.9625,0.0,top
J5,182.175,-112.325,90.0,top
L1,173.625,-117.35,270.0,top
LS2,173.625,-96.75,270.0,top
POWER_ON_LED1,167.9,-122.125,180.0,top
Q1,175.5,-89.5,0.0,top
R(PULL)1,169.6567,-42.85,90.0,top
R(PULL)15,172.825,-69.475,0.0,top
R(PULL)16,176.0,-72.4,90.0,top
R(PULL)18,184.85,-54.625,270.0,top
R(PULL)19,182.25,-54.625,270.0,top
R(PULL)2,171.95,-42.85,90.0,top
R(PULL)3,175.6,-45.4,90.0,top
R(PULL)4,167.3867,-42.85,90.0,top
R(PULL)9,171.9875,-122.125,180.0,top
R(T)1,183.325,-90.425,0.0,top
R(T)2,179.0,-89.5,90.0,top
R7,167.9375,-81.0,0.0,top
R_PULL_FLASH_1,153.85,-34.6,180.0,top
R_PULL_MICROSD_1,164.0,-84.8125,90.0,top
R_PULL_MICROSD_2,159.4,-84.8125,90.0,top
R_PULL_MICROSD_3,157.1,-84.8125,90.0,top
R_PULL_MICROSD_4,154.8,-84.8125,90.0,top
R_PULL_MICROSD_5,166.3,-84.8125,90.0,top
R_PULL_MICROSD_6,169.125,-98.15,270.0,top
R_SERIES_MICROSD_1,162.65,-70.65,90.0,top
R_SERIES_MICROSD_2,164.8,-70.65,90.0,top
R_SERIES_MICROSD_3,166.95,-70.65,90.0,top
U2,170.5631,-38.45,180.0,top
U4,183.25,-60.325,0.0,top
U5,172.625,-73.375,0.0,top
U7,170.43,-55.745,270.0,top
U9,174.65,-111.7375,180.0,top
XTAL1,154.45,-55.175,270.0,top
